StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;<10;<20;<30;<40;<50;<100;<150;<200;>=200;CallLengthRepartition;<10;<50;<100;<500;<1000;<5000;<10000;>=10000;
2013-04-27	10:34:16:159	1367051656.159378;2013-04-27	10:34:34:177	1367051674.177732;2013-04-27	10:34:36:178	1367051676.178636;00:00:02;00:00:20;2;0.5;1.34872;0;0;1;27;27;5;1;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;00:00:00:617;00:00:00:628;00:00:00:152;00:00:00:265;00:00:04:035;00:00:03:582;2562047788015:12:55:808;00:00:00:246;;0;0;0;0;0;0;0;0;27;;0;0;0;0;0;22;0;0;
2013-04-27	10:34:16:159	1367051656.159378;2013-04-27	10:34:36:178	1367051676.178740;2013-04-27	10:34:38:179	1367051678.179634;00:00:02;00:00:22;2;2;1.40781;0;0;4;31;31;5;4;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;00:00:01:127;00:00:00:678;00:00:00:105;00:00:00:294;00:00:03:896;00:00:03:630;00:00:00:265;00:00:00:269;;0;0;0;0;0;0;0;0;30;;0;0;0;0;0;26;0;0;
2013-04-27	10:34:16:159	1367051656.159378;2013-04-27	10:34:38:179	1367051678.179732;2013-04-27	10:34:40:181	1367051680.181633;00:00:02;00:00:24;2;0.49975;1.33211;0;0;1;32;32;5;1;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;00:00:00:765;00:00:00:684;00:00:00:222;00:00:00:288;00:00:03:728;00:00:03:634;2562047788015:12:55:808;00:00:00:265;;0;0;0;0;0;0;0;0;32;;0;0;0;0;0;27;0;0;
2013-04-27	10:34:16:159	1367051656.159378;2013-04-27	10:34:40:181	1367051680.181727;2013-04-27	10:34:42:182	1367051682.182631;00:00:02;00:00:26;2;2;1.38339;0;0;4;36;36;5;4;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;00:00:01:054;00:00:00:715;00:00:00:062;00:00:00:295;00:00:04:081;00:00:03:691;00:00:00:134;00:00:00:293;;0;0;0;0;0;0;0;0;35;;0;0;0;0;0;31;0;0;
2013-04-27	10:34:16:159	1367051656.159378;2013-04-27	10:34:42:182	1367051682.182738;2013-04-27	10:34:44:183	1367051684.183635;00:00:02;00:00:28;2;0.5;1.3203;0;0;1;37;37;5;1;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;00:00:00:823;00:00:00:721;00:00:00:297;00:00:00:292;00:00:03:613;00:00:03:689;2562047788015:12:55:808;00:00:00:288;;0;0;0;0;0;0;0;0;37;;0;0;0;0;0;32;0;0;
2013-04-27	10:34:16:159	1367051656.159378;2013-04-27	10:34:44:183	1367051684.183732;2013-04-27	10:34:46:184	1367051686.184637;00:00:02;00:00:30;2;2;1.36553;0;0;4;41;41;5;4;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;00:00:01:020;00:00:00:736;00:00:00:004;00:00:00:292;00:00:04:058;00:00:03:730;00:00:00:052;00:00:00:296;;0;0;0;0;0;0;0;0;39;;0;0;0;0;0;36;0;0;
2013-04-27	10:34:16:159	1367051656.159378;2013-04-27	10:34:46:184	1367051686.184751;2013-04-27	10:34:48:186	1367051688.186637;00:00:02;00:00:32;2;0.49975;1.31139;0;0;1;42;42;5;1;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;00:00:01:057;00:00:00:759;00:00:00:198;00:00:00:296;00:00:03:617;00:00:03:727;2562047788015:12:55:808;00:00:00:292;;0;0;0;0;0;0;0;0;42;;0;0;0;0;0;37;0;0;
2013-04-27	10:34:16:159	1367051656.159378;2013-04-27	10:34:48:186	1367051688.186776;2013-04-27	10:34:50:187	1367051690.187639;00:00:02;00:00:34;2;2.5;1.38122;0;0;5;47;47;5;5;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;00:00:00:925;00:00:00:767;00:00:00:010;00:00:00:291;00:00:04:048;00:00:03:765;00:00:00:142;00:00:00:297;;0;0;0;0;0;0;0;0;44;;0;0;0;0;0;42;0;0;
2013-04-27	10:34:16:159	1367051656.159378;2013-04-27	10:34:50:187	1367051690.187753;2013-04-27	10:34:52:188	1367051692.188634;00:00:02;00:00:36;2;0;1.3045;0;0;0;47;47;5;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;00:00:01:158;00:00:00:792;00:00:00:162;00:00:00:300;00:00:00:000;00:00:03:765;00:00:00:000;00:00:00:297;;0;0;0;0;0;0;0;0;47;;0;0;0;0;0;42;0;0;
2013-04-27	10:34:16:159	1367051656.159378;2013-04-27	10:34:52:188	1367051692.188752;2013-04-27	10:34:54:191	1367051694.191241;00:00:02;00:00:38;2;1.4985;1.31472;0;0;3;50;50;3;5;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;00:00:00:815;00:00:00:793;00:00:00:003;00:00:00:294;00:00:04:072;00:00:03:798;00:00:00:171;00:00:00:300;;0;0;0;0;0;0;0;0;49;;0;0;0;0;0;47;0;0;
2013-04-27	10:34:16:159	1367051656.159378;2013-04-27	10:34:54:191	1367051694.191330;2013-04-27	10:34:56:193	1367051696.193077;00:00:02;00:00:40;2;0;1.24897;0;0;0;50;50;3;0;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;00:00:00:713;00:00:00:791;00:00:00:000;00:00:00:291;00:00:00:000;00:00:03:798;00:00:00:000;00:00:00:300;;0;0;0;0;0;0;0;0;50;;0;0;0;0;0;47;0;0;
2013-04-27	10:34:16:159	1367051656.159378;2013-04-27	10:34:56:193	1367051696.193215;2013-04-27	10:34:57:316	1367051697.316832;00:00:01;00:00:41;2;0;1.21486;0;0;0;50;50;0;3;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;00:00:00:000;00:00:00:791;00:00:00:000;00:00:00:291;00:00:03:788;00:00:03:797;00:00:00:058;00:00:00:291;;0;0;0;0;0;0;0;0;50;;0;0;0;0;0;50;0;0;
2013-04-27	10:34:16:159	1367051656.159378;2013-04-27	10:34:57:316	1367051697.316920;2013-04-27	10:34:57:317	1367051697.317655;00:00:00;00:00:41;2;0;1.21483;0;0;0;50;50;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;00:00:00:000;00:00:00:791;00:00:00:000;00:00:00:291;00:00:00:000;00:00:03:797;00:00:00:000;00:00:00:291;;0;0;0;0;0;0;0;0;50;;0;0;0;0;0;50;0;0;
